Waktu,Ticker,Harga,Perubahan,Persen%,Status
2026-04-24 13:35:56,BNBA,865,170,24.46,NAIK
2026-04-24 13:35:56,RODA,95,16,20.25,NAIK
2026-04-24 13:35:56,BFIN,835,60,7.74,NAIK
2026-04-24 13:35:56,KUAS,126,8,6.78,NAIK
2026-04-24 13:35:56,ELTY,50,3,6.38,NAIK
2026-04-24 13:35:56,KREN,17,1,6.25,NAIK
2026-04-24 13:35:56,PKPK,3250,180,5.86,NAIK
2026-04-24 13:35:56,WSBP,19,1,5.56,NAIK
2026-04-24 13:35:56,CASH,238,12,5.31,NAIK
2026-04-24 13:35:56,SQMI,60,3,5.26,NAIK
2026-04-24 13:35:56,PRIM,88,4,4.76,NAIK
2026-04-24 13:35:56,TRUS,400,18,4.71,NAIK
2026-04-24 13:35:56,INTD,274,10,3.79,NAIK
2026-04-24 13:35:56,VIVA,59,2,3.51,NAIK
2026-04-24 13:35:56,MARI,30,1,3.45,NAIK
2026-04-24 13:35:56,AKSI,336,10,3.07,NAIK
2026-04-24 13:35:56,DIGI,34,1,3.03,NAIK
2026-04-24 13:35:56,SMMT,1975,55,2.86,NAIK
2026-04-24 13:35:56,TARA,36,1,2.86,NAIK
2026-04-24 13:35:56,BUKK,1285,35,2.8,NAIK
2026-04-24 13:35:56,SAFE,374,10,2.75,NAIK
2026-04-24 13:35:56,PTIS,314,8,2.61,NAIK
2026-04-24 13:35:56,LPLI,324,8,2.53,NAIK
2026-04-24 13:35:56,ABBA,42,1,2.44,NAIK
2026-04-24 13:35:56,JTPE,640,15,2.4,NAIK
2026-04-24 13:35:56,EMDE,87,2,2.35,NAIK
2026-04-24 13:35:56,PTSP,900,20,2.27,NAIK
2026-04-24 13:35:56,ARII,302,6,2.03,NAIK
2026-04-24 13:35:56,BRAM,4530,90,2.03,NAIK
2026-04-24 13:35:56,BMTR,179,3,1.7,NAIK
2026-04-24 13:35:56,SURE,2700,40,1.5,NAIK
2026-04-24 13:35:56,PGUN,9700,125,1.31,NAIK
2026-04-24 13:35:56,AMFG,3220,40,1.26,NAIK
2026-04-24 13:35:56,DKFT,815,10,1.24,NAIK
2026-04-24 13:35:56,SIPD,1010,10,1.0,NAIK
2026-04-24 13:35:56,CLPI,1635,15,0.93,NAIK
2026-04-24 13:35:56,MBSS,2280,20,0.88,NAIK
2026-04-24 13:35:56,VICI,590,5,0.85,NAIK
2026-04-24 13:35:56,ALDO,600,5,0.84,NAIK
2026-04-24 13:35:56,ASDM,615,5,0.82,NAIK
2026-04-24 13:35:56,TBIG,1860,15,0.81,NAIK
2026-04-24 13:35:56,FMII,268,2,0.75,NAIK
2026-04-24 13:35:56,INCO,6750,50,0.75,NAIK
2026-04-24 13:35:56,STTP,10275,75,0.74,NAIK
2026-04-24 13:35:56,KKGI,324,2,0.62,NAIK
2026-04-24 13:35:56,KBLM,328,2,0.61,NAIK
2026-04-24 13:35:56,ESSA,930,5,0.54,NAIK
2026-04-24 13:35:56,UCID,402,2,0.5,NAIK
2026-04-24 13:35:56,ANJT,1815,5,0.28,NAIK
2026-04-24 13:35:56,DUTI,4110,10,0.24,NAIK
2026-04-24 13:35:56,TGKA,4920,10,0.2,NAIK
2026-04-24 13:35:56,SKBM,680,-120,-15.0,TURUN
2026-04-24 13:35:56,LPPF,1655,-285,-14.69,TURUN
2026-04-24 13:35:56,KOBX,210,-36,-14.63,TURUN
2026-04-24 13:35:56,COCO,380,-64,-14.41,TURUN
2026-04-24 13:35:56,LCKM,119,-19,-13.77,TURUN
2026-04-24 13:35:56,BOBA,210,-32,-13.22,TURUN
2026-04-24 13:35:56,ASGR,1675,-255,-13.21,TURUN
2026-04-24 13:35:56,COAL,66,-10,-13.16,TURUN
2026-04-24 13:35:56,PGLI,230,-34,-12.88,TURUN
2026-04-24 13:35:56,ICON,112,-16,-12.5,TURUN
2026-04-24 13:35:56,DFAM,98,-12,-10.91,TURUN
2026-04-24 13:35:56,AMIN,214,-26,-10.83,TURUN
2026-04-24 13:35:56,NRCA,635,-75,-10.56,TURUN
2026-04-24 13:35:56,BELL,147,-17,-10.37,TURUN
2026-04-24 13:35:56,BCAP,53,-6,-10.17,TURUN
2026-04-24 13:35:56,YPAS,1270,-140,-9.93,TURUN
2026-04-24 13:35:56,BDMN,3870,-420,-9.79,TURUN
2026-04-24 13:35:56,DSSA,2030,-220,-9.78,TURUN
2026-04-24 13:35:56,POLI,1155,-125,-9.77,TURUN
2026-04-24 13:35:56,PYFA,338,-36,-9.63,TURUN
2026-04-24 13:35:56,POLA,86,-9,-9.47,TURUN
2026-04-24 13:35:56,ENRG,1910,-180,-8.61,TURUN
2026-04-24 13:35:56,CSIS,182,-17,-8.54,TURUN
2026-04-24 13:35:56,REAL,55,-5,-8.33,TURUN
2026-04-24 13:35:56,PTRO,5675,-500,-8.1,TURUN
2026-04-24 13:35:56,SINI,15000,-1300,-7.98,TURUN
2026-04-24 13:35:56,OILS,278,-24,-7.95,TURUN
2026-04-24 13:35:56,CITY,197,-17,-7.94,TURUN
2026-04-24 13:35:56,BTPN,2090,-180,-7.93,TURUN
2026-04-24 13:35:56,HDFA,105,-9,-7.89,TURUN
2026-04-24 13:35:56,BBYB,304,-26,-7.88,TURUN
2026-04-24 13:35:56,SSTM,660,-55,-7.69,TURUN
2026-04-24 13:35:56,GTSI,244,-20,-7.58,TURUN
2026-04-24 13:35:56,IKAI,25,-2,-7.41,TURUN
2026-04-24 13:35:56,STAA,1250,-100,-7.41,TURUN
2026-04-24 13:35:56,BBTN,1380,-110,-7.38,TURUN
2026-04-24 13:35:56,KBAG,51,-4,-7.27,TURUN
2026-04-24 13:35:56,DGNS,258,-20,-7.19,TURUN
2026-04-24 13:35:56,FPNI,478,-37,-7.18,TURUN
2026-04-24 13:35:56,PLAN,53,-4,-7.02,TURUN
2026-04-24 13:35:56,BIPI,268,-20,-6.94,TURUN
2026-04-24 13:35:56,PADI,108,-8,-6.9,TURUN
2026-04-24 13:35:56,AHAP,109,-8,-6.84,TURUN
2026-04-24 13:35:56,INDX,110,-8,-6.78,TURUN
2026-04-24 13:35:56,DOID,248,-18,-6.77,TURUN
2026-04-24 13:35:56,TRIM,555,-40,-6.72,TURUN
2026-04-24 13:35:56,WMPP,42,-3,-6.67,TURUN
2026-04-24 13:35:56,CENT,101,-7,-6.48,TURUN
2026-04-24 13:35:56,YELO,102,-7,-6.42,TURUN
2026-04-24 13:35:56,GMTD,1555,-105,-6.33,TURUN
2026-04-24 13:35:56,FAST,300,-20,-6.25,TURUN
2026-04-24 13:35:56,KBLV,120,-8,-6.25,TURUN
2026-04-24 13:35:56,VOKS,210,-14,-6.25,TURUN
2026-04-24 13:35:56,INDY,3640,-240,-6.19,TURUN
2026-04-24 13:35:56,IMPC,2140,-140,-6.14,TURUN
2026-04-24 13:35:56,SMGR,2130,-130,-5.75,TURUN
2026-04-24 13:35:56,ADMG,198,-12,-5.71,TURUN
2026-04-24 13:35:56,PEGE,152,-9,-5.59,TURUN
2026-04-24 13:35:56,BRPT,2070,-120,-5.48,TURUN
2026-04-24 13:35:56,LEAD,138,-8,-5.48,TURUN
2026-04-24 13:35:56,PURI,173,-10,-5.46,TURUN
2026-04-24 13:35:56,BBCA,6075,-350,-5.45,TURUN
2026-04-24 13:35:56,PNBS,52,-3,-5.45,TURUN
2026-04-24 13:35:56,TOBA,615,-35,-5.38,TURUN
2026-04-24 13:35:56,EPAC,71,-4,-5.33,TURUN
2026-04-24 13:35:56,KJEN,125,-7,-5.3,TURUN
2026-04-24 13:35:56,MITI,252,-14,-5.26,TURUN
2026-04-24 13:35:56,NELY,326,-18,-5.23,TURUN
2026-04-24 13:35:56,LPCK,640,-35,-5.19,TURUN
2026-04-24 13:35:56,PPRE,128,-7,-5.19,TURUN
2026-04-24 13:35:56,OMRE,925,-50,-5.13,TURUN
2026-04-24 13:35:56,SGER,408,-22,-5.12,TURUN
2026-04-24 13:35:56,IMJS,186,-10,-5.1,TURUN
2026-04-24 13:35:56,BWPT,131,-7,-5.07,TURUN
2026-04-24 13:35:56,BSDE,750,-40,-5.06,TURUN
2026-04-24 13:35:56,IBFN,94,-5,-5.05,TURUN
2026-04-24 13:35:56,KIOS,113,-6,-5.04,TURUN
2026-04-24 13:35:56,MLPT,24000,-1275,-5.04,TURUN
2026-04-24 13:35:56,JSPT,1415,-75,-5.03,TURUN
2026-04-24 13:35:56,JARR,2290,-120,-4.98,TURUN
2026-04-24 13:35:56,KLBF,865,-45,-4.95,TURUN
2026-04-24 13:35:56,MDLN,58,-3,-4.92,TURUN
2026-04-24 13:35:56,BAPA,176,-9,-4.86,TURUN
2026-04-24 13:35:56,INCF,59,-3,-4.84,TURUN
2026-04-24 13:35:56,MLPL,100,-5,-4.76,TURUN
2026-04-24 13:35:56,AGRO,183,-9,-4.69,TURUN
2026-04-24 13:35:56,BLTA,41,-2,-4.65,TURUN
2026-04-24 13:35:56,IATA,82,-4,-4.65,TURUN
2026-04-24 13:35:56,OKAS,123,-6,-4.65,TURUN
2026-04-24 13:35:56,TAYS,62,-3,-4.62,TURUN
2026-04-24 13:35:56,KONI,2080,-100,-4.59,TURUN
2026-04-24 13:35:56,SONA,2080,-100,-4.59,TURUN
2026-04-24 13:35:56,WIFI,2290,-110,-4.58,TURUN
2026-04-24 13:35:56,MMLP,334,-16,-4.57,TURUN
2026-04-24 13:35:56,RBMS,63,-3,-4.55,TURUN
2026-04-24 13:35:56,INDS,384,-18,-4.48,TURUN
2026-04-24 13:35:56,UNVR,1600,-75,-4.48,TURUN
2026-04-24 13:35:56,DEWA,492,-23,-4.47,TURUN
2026-04-24 13:35:56,MSKY,86,-4,-4.44,TURUN
2026-04-24 13:35:56,ELSA,770,-35,-4.35,TURUN
2026-04-24 13:35:56,BKDP,67,-3,-4.29,TURUN
2026-04-24 13:35:56,BUKA,157,-7,-4.27,TURUN
2026-04-24 13:35:56,JAWA,157,-7,-4.27,TURUN
2026-04-24 13:35:56,NASI,157,-7,-4.27,TURUN
2026-04-24 13:35:56,RAAM,224,-10,-4.27,TURUN
2026-04-24 13:35:56,SSMS,1370,-60,-4.2,TURUN
2026-04-24 13:35:56,KEEN,915,-40,-4.19,TURUN
2026-04-24 13:35:56,MEDC,1725,-75,-4.17,TURUN
2026-04-24 13:35:56,SDMU,92,-4,-4.17,TURUN
2026-04-24 13:35:56,GJTL,1165,-50,-4.12,TURUN
2026-04-24 13:35:56,BCIP,70,-3,-4.11,TURUN
2026-04-24 13:35:56,GIAA,70,-3,-4.11,TURUN
2026-04-24 13:35:56,TFAS,234,-10,-4.1,TURUN
2026-04-24 13:35:56,SIMP,825,-35,-4.07,TURUN
2026-04-24 13:35:56,ESTI,166,-7,-4.05,TURUN
2026-04-24 13:35:56,GPRA,119,-5,-4.03,TURUN
2026-04-24 13:35:56,BLUE,3110,-130,-4.01,TURUN
2026-04-24 13:35:56,PPRO,24,-1,-4.0,TURUN
2026-04-24 13:35:56,PEHA,294,-12,-3.92,TURUN
2026-04-24 13:35:56,TBLA,740,-30,-3.9,TURUN
2026-04-24 13:35:56,MCAS,350,-14,-3.85,TURUN
2026-04-24 13:35:56,PTPP,250,-10,-3.85,TURUN
2026-04-24 13:35:56,MYOH,1255,-50,-3.83,TURUN
2026-04-24 13:35:56,EXCL,3020,-120,-3.82,TURUN
2026-04-24 13:35:56,WOOD,302,-12,-3.82,TURUN
2026-04-24 13:35:56,BNII,204,-8,-3.77,TURUN
2026-04-24 13:35:56,MPPA,51,-2,-3.77,TURUN
