Tanggal,Harga Close
2026-03-12,33.03
2026-03-13,32.98
2026-03-16,33.29
2026-03-17,33.31
2026-03-18,32.38
2026-03-19,31.9
2026-03-20,31.2
2026-03-23,33.11
2026-03-24,32.7
2026-03-25,31.96
2026-03-26,29.84
2026-03-27,27.51
2026-03-30,26.59
2026-03-31,28.83
2026-04-01,27.79
2026-04-02,29.3
2026-04-06,29.24
2026-04-07,28.49
2026-04-08,28.99
2026-04-09,28.08
2026-04-10,28.79
2026-04-13,29.76
2026-04-14,35.76
2026-04-15,43.25
2026-04-16,44.68
2026-04-17,46.09
2026-04-20,48.32
2026-04-21,46.28
2026-04-22,47.36
2026-04-23,43.63
